path,label
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PAN_13_3kV_20201119.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_1/image/polyester_121.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PAN_01_2kV.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_1/image/polyester_103.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PE_13_3kV_20201119.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PE_03_2kV.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_1/image/polyester_131.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_1/image/polyester_71.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_1/image/polyester_99.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_1/image/polyester_83.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PAN_01_3kV_20201119.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PAN_02_2kV.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PE_03_3kV.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_1/image/polyester_57.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PAN_19_3kV_20201119.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PAN_09_3kV.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PE_01_2kV_20201119.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PE_07_3kV_20201119.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PAN_04_2kV.png,fibre
data/microplastics_datasets/microplastics_sem_toronto/Microplastics_SEM/dataset3/dataset3/fibre/fibre_2/image/PAN_10_3kV.png,fibre
